,작성자,시간,내용
0,brig****,2022.10.09. 13:49,★또라이~~ 네놈이 좌파근성을 가지고 있으니 그렇기 들리지~~ㅋㅋㅋㅋㅋ
1,jti7****,2022.10.09. 13:47,옳소
2,dara****,2022.10.09. 13:47,승민이 준식이 ᆢ야네들 본업이 무위도식 기생충질 인디 ᆢ숙주 밖으로 나가라나가라 한들 나가겠어요ᆢ 구충제 한사발이 답 ᆢ
3,fm99****,2022.10.09. 13:38,직업... 내부총질.. 좌파프락치 대부...
4,ufoj****,2022.10.09. 13:34,당과 달리할 인물들은 전부 다 나가라!!! 내부분열 내부총질할 배신자들은 꺼지란 말이다!!!
5,lx19****,2022.10.09. 13:33,시진핑 윤석열 몽키 닮은 개돼지들 총 집합
6,ssyo****,2022.10.09. 13:31,준서기 승민이 태경이 여기 몇놈들은 좌빨성향이 매우 강한 불순자 들이다 보수의 울타리 안에서 하루 빨리 나가라 꼴보기 싫다
7,bk46****,2022.10.09. 13:29,배신하는 ㅅ. ㅋ. 의관상입니다… 주변에 저런관상 가진사람 멀리하세요!!!
8,says****,2022.10.09. 13:18,맞는말 하는대도 배신자라니ㅋㅋ 박근혜 탄핵수사는 윤석열이 했는데 국민의힘에서 대통령된 윤석열은 그럼 뭐임? 그저 노인네들 니들 입맛에 맞는 사람 인기투표로 대통령 뽑은거잖아 그 수준이 지금 그대로 정부수준으로 드러나고 있는거고 제발 정신좀 차려 노인들아
9,rlfo****,2022.10.09. 13:18,꺼져 빨갱아
10,kimy****,2022.10.09. 13:17,유승민 너 같이 배신을 밥 말아 먹는 자는 준석이랑 같이 징계하여 추방하여야 할 자이다.
11,sang****,2022.10.09. 13:17,강아지승민아 얼마나 얻어 맞아야 정신차릴래? 강아지준떡이는 양두구육이라고 언론에 공개적으로 떠들고 윤통의 이** ?팔려는 설사 말했다 하드라도 옆사람과 개인적으로 사적으로 한건데 뭐가 똑같으냐? 이 모자라는 녀석아 에그~~ 쯪쯪쯪 그러니 가제는 게편이라고 강아지 준떡이나 강아지태경이 끼리 친목회나 하거라
12,yjun****,2022.10.09. 13:16,ㄹㅇ ㅋㅋ
13,meel****,2022.10.09. 13:14,너도 배신당할날이 반듯이 온다!
14,joan****,2022.10.09. 13:08,북조선 로동당보다 더 썩은 독재당 국짐. 해체가 정답이다. 담 총선 몰살이 기다린다. 국민이 바보로 보이지?
15,tton****,2022.10.09. 13:08,역시 배신자는 또 배신을 한다.
16,alic****,2022.10.09. 13:07,좌파들이 유승민 당선시키려는 시도를 막으려면 나도 입당해야 하나 싶다. 진짜 유승민 지긋지긋하게 질기네.
17,army****,2022.10.09. 13:06,햐 이 배신자 XXX
18,sera****,2022.10.09. 13:05,바이든도 하던데...뭘...남몰래 뒤에서 뒷통수 치는 놈들보다야....배신자들은 서로 잘 통하는듯 하네....
19,jhfa****,2022.10.09. 13:05,승민아 내부총질 그만하고 준석이랑 탈당해서 신당 창당 해라. 대통령 후보 나올때는 너 지지 했었는데 네 뜻과 다르게 정부를 운영한다고 이 지x 하는건 옳지 않다고 생각한다. 준석이도 석열이 대통령 당선에 가장 큰 공을 세웠고 결정적 이라는 것도 인정하지만 지금 이 시기에 이렇게 나오는건 아니라고 생각해. 깔끔하게 탈당 하는게 좋을듯.
20,sshe****,2022.10.09. 12:59,윤석열대통령 은 국민들이 선택했다 그리고 혼자말처럼 했는말을 엠비씨가 자막을 넣으므로써 어떤말인처럼 들린것을(영어노래를 비슷한 한국말을 연관 지으면 그말처럼 들리는것처럼)국민의힘 당원이라는 유승민이 이야기하는 것을 보니 너는 국민의 힘에 애착도 없고 박근혜때처럼 너의 정치인생에 또 한번의 반란을 꿈꾸다가 윤석열 대통령 이 되니 배가 아파 죽겠지 ! 나가라 사라져라 대구에서 알짱거리지마라
21,daja****,2022.10.09. 12:59,지놈속셈 다틀어저 수포로돌아가니억장무너지는것 배신자 나갔다들어온놈아주기생아들놈 같다 옛날같으면개작두 대령할놈
22,bki6****,2022.10.09. 12:58,너는 얼라들 드립첬을때 끝난거야 그걸 아셔야지
23,cell****,2022.10.09. 12:56,"뇌물 줘서 공정 경쟁 막고, 사기질로 남들 돈 가로채며 더럽게 돈 모으면서 비루한 생을 영위해 온 무식한 인간들이 주로 지지하는 것이 국힘이다 .. 젊은 세대들이 그 더러운 국힘을 기반으로 어떻게든 보수를 제대로 세워보고자 노력하고는 있는데 ... 궁금하네 ... 그게 과연 가능할지"
24,ruru****,2022.10.09. 12:54,유승민씨? 계속 그렇게 떠벌리세요 조만간 아베 곁으로가겠네 ㅉㅉ
25,jyju****,2022.10.09. 12:46,"윤리위원회 의원들이 처신을 잘하는 거지요.나라 보다는 자신의 안위가 우선이니까요.정권이 바뀌면, 또 그 정권에 매달릴 분들입니다. 그런 분들만 선발했으니까요."
26,anim****,2022.10.09. 12:18,배신의 DNA 작동개시
27,nmis****,2022.10.09. 12:18,유승민이 당대표 되면 이준석이하고 당 말아먹는다. 절대로 배신자는 믿으면 안된다. 대통령 징계하고 역선택으로 대표 해 보겠다. 바보 같은 놈
28,lilc****,2022.10.09. 12:01,특강 들어야 지 애미 애비 잡아먹는 이야기만 하는구나 뭐 그내야 개딸들한테 라도 인기얻지
29,reco****,2022.10.09. 12:44,이자가 민주당 문빠 선동꾼 들보다 더욱더 나빠
30,sis4****,2022.10.09. 11:51,ㅋㅋ 승민씨 되것어?솔직히 징계할수나 있겠냐고 원래 국짐은 권력의 꼬리들이잖아 ㅋㅋㅋ감히 어디 대통령을 징계하겠어 니들이 ㅋㅋㅋ 살랑거리지들이나 말어 ㅋ윤통 징계을 한다면 그정도로 정신이 재대로 박혀있다면 괸히 국짐이겠냐고 ㅋㅋㅋ되지도 안을 소리 내뱉지말고 준서기나 잘 보필해 ㅋㅋ
31,shmo****,2022.10.09. 11:47,승민아 국힘에서 성동이는 버리는 카드다 준석이하고 손잡고 더불어 배신당 창당해라 성동이는 공짜로 줄께
32,chlt****,2022.10.09. 11:45,문정부 만드는데 일등공신인 당신이 하실 말씀은 아닌듯 ? 오히려 너님을 받아준 당에 고마워 해야지..입당할때 머라했소 ?? 닭그네 한테 사과하란말 하지 말라면서 입당 ? ㅋ
33,rkdd****,2022.10.09. 11:39,"배신자 개 xx가 본색을 들어내는구나,."
34,nmy5****,2022.10.09. 11:36,민주당 욕하지마라 국힘은 뭐 다른가? 권력과 팬뎀의 로 살아가는건 똑같지ㅋ예전 유시민의 역활을 대신하는 신모씨도 있고ㅋ 아예 데칼코마니라 하자
35,1004****,2022.10.09. 11:31,"대한민국을 망국으로 만드는 잡것들......1. 소시오패스에 양아치같다는 전과4범 이재명과 더블어 망할당.....2. 국민선동 MBC방송국.....2. 국회의원300명과 보좌비서2,700명,.....4. 전교조......5. 민노총,.....6, 개딸들.....7지방자치제도.....8. 박근혜대통령을 탄핵한 유승민같은 배신자들......9. 의약분업제도......10.군인,공무원연금 국민혈세충당금,.....11. 퇴임 대통령에게 거액의 국민혈세지원 과잉경호 및 퍼주기식 예우제도,....."
36,lada****,2022.10.09. 11:20,이XX 저XX 박수 굥 만 그러겠니? 국킴 의원 나으리들 인성을 봐라 ㆍ소XX 개XX 표현 낮설지 않을게다ㆍㆍ 그 당은 그게 인사 아니냐? '
37,cowl****,2022.10.09. 11:13,비겁한 인간 유 승민! 배신자 유 승민! 당대표 출마를 생각하고 역 선택을 받아 자기가 당대표가 될수 있겠다는 계산하에 자기당이고 대통령이고 나라고 박살이 나더라도 당대표를 하겠다는 좌파같은 치졸한 인간. 국힘은 하루라도 빨리 역선택 방지 조항을 만들기바랍니다.
38,yee2****,2022.10.09. 11:09,개언론은 공감순이 없다. 국민 듣조잡 개독 개언론. 아직도 윤에 줄섯나? 10. 22. 용와대에 백만촛불 집결한다. 버려 등심들아. 개언론 대장 조선은 윤18 버리는 중 이더라. 촉이 없어. 명 대통되면 죽는다. 국만은 듣보잡이라 죽여도 바보거지보수가 관심 이나 있겠나? 개독 이단 순복음 일간지야.
39,semi****,2022.10.09. 11:08,승민아 민주당 지지자들이 그렇게 널 칭찬하는데 이참에 준석이 태경이 데리고 민주당 가라. 국힘당 끈떨어지니 분풀이니? 준석이 징계는 자기 성상납 개인적인 사건에 공적인 정무실장 대전 내려보내 장이사 만나고 7억 각서 써준거로 징계받았고 무고죄로 아직 조사 받잖아 그럼 자중했어야지 어디 대통령을 양두구육에 비유해 팔고 다녔다고 하냐? 국힘당원들이 대통령 후보로 뽑았는데 인정하기 싫으면 국힘당원도 당대표도 하지 말었어야지.. 무슨 낮짝으로 남아있냐? 국힘당원 하지 말라는거다.. 그니깐 승민아 재명이 감옥갈거니 민주당 그자리 들어가라
40,1118****,2022.10.09. 11:08,너의 주둥이를 징계하고 싶다.
41,ej52****,2022.10.09. 11:05,"수준 낮고, 판단력 없는 유승민! 이재명 욕, 문제 삼아라!!! 말장난 그만 하고!!!"
42,snow****,2022.10.09. 11:02,"유승민 화이팅. 차기 당대표. 윤18 탄핵 후 유력 대선후보. 바보거지 보수는 가고 개혁, 리버럴 보수 오라. 한국 정치가 진일보한다. 아래 바보거지개검보수들 정치판에서 청소해야한다. 윤탄핵이 바보거지개검 보수를 청소하고 개혁, 리버럴보수가 주류가 되는거다. 한국정치가 한번 더 발전하는거다. 독재와 부패, 친일과 보수가 결별하는거다. 온전한 보수다."
43,lyj0****,2022.10.09. 10:57,싸가지
44,snow****,2022.10.09. 10:58,아직도 대통령을 꿈꾸는 유배신...경기도지사 후보 경선에서도 떨어져 관짝 들어간 유배신...당원들이 인정하지 않는 유배신...그냥 만진당에 입당하시길
45,khso****,2022.10.09. 10:57,윤석열 진짜 답이 없다. 유승민이 없는 말 만들어내서 공격한 것도 아니고 있는 거 가지고 비판했는데도 못 받아드린다면 보수는 궤멸되는 편이 낫지. 정계 원로들이 윤석열과 손절한 거 보면 윤석열이 얼마나 개판으로 하고 있는지 알 수 있는 부분.
46,ej52****,2022.10.09. 10:55,차고 넘치는 지 허물은 모르고남의 허물은 비판하고 물고 늘어지는 꼴이란 민주당 보아라 전과4범도 저렇게 감사고 도는데 내부총질 그만하고 꺼저라
47,tdth****,2022.10.09. 10:54,유승민. 힘내라 ᆢ드르븐. 국짐당ᆢ하는꼬라지하고는. ᆢ승민아 기죽지 마라. ᆢ준석이도 힘내고ᆢ
48,yet1****,2022.10.09. 10:52,김무성하고 뽀뽀나 해 ㅋㅋ
49,52sy****,2022.10.09. 10:48,국민 기만 국힘당은 해체하라~!! 윤핵관늠들 반듯이 정계퇴출~!!
50,seoi****,2022.10.09. 10:43,나가라 승민아~
51,sang****,2022.10.09. 10:43,배신 전문 배신견. 관종돌 배신견 잘 어울린다. 저런인간이 보수라고
52,moto****,2022.10.09. 10:42,유승민의 본색을 들어내고 있다 준석이 출당 시켰으면 승민이랑 같이 당하나 만들 텐데 승민이 제명 해라 자당대통령도 징계 하라는 데 박근혜대통령 탄핵때와 똑 같은 것 아닌가?
53,jejo****,2022.10.09. 10:40,윤석열이와 국힘당은 공덩과 상식 법치하곤 거리가 멀다. 하루빨리 탄핵이 답이다. 엄지척
54,kwan****,2022.10.09. 11:03,승민아 준서기랑 니네당인 더불어 성추행당으로 가렴. 국짐당에서 게릴라 흉내 내지말고.
55,tpak****,2022.10.09. 10:36,"나도 국힘 책임당원이지만 대통령 잘못 뽑은건 명백한 사실 아닙니까? 지지율 24%가 뭘 의미하겠어요? 님은 윤석열을 앞세워서 차기 총선, 차기 대선 승리 가능성이 있다고 보십니까? 지금이야 공천을 앞두고 있으니 친윤에 줄 서 있지만, 당장 다음 총선 끝나고 나면 우리당 친윤의원들 부터 대통령 출당시켜야한다고 난리법석을 떨게 뻔하잖아요? 국개들은 원래 그런 인간들이고 당은 원래 그래야 하는겁니다. 정권창출이 목적이 아니면 당이 무슨 존재 의의가 있습니까? 지지율 개판 쳐놓은 인간이 내부총질러가 아니면 도대체 뭡니까?"
56,skyb****,2022.10.09. 10:35,이xx 윤석열을 대통령으로 인정안하고 있다는건 정권교체 반대했다는걸 명확히 해주는것 이번에도 숨어서 국힘에 배신짓거리 했다는것
57,1625****,2022.10.09. 10:31,박근혜 45년형 때린 감사랑 박근혜 탄핵시켜 끌어내린 배신의 주역들 다 빨아재끼면서 끝까지 충언하던 유승민더러 배신자라네. 진짜 국졸 딱딱이 니들 뭔 인지장애가 있냐???
58,choi****,2022.10.09. 10:31,"박근혜 감옥에 잡아가둔 배신의 아이콘 윤구육? 벼락출세 시켜준 문재앙이 뒤통수 까고 알면 알수록 품격없고 센스없고 멍청한걸 그래도 당대표가 대통령 만들어줬더니 토사구팽하고, 그 곁에 붙은 간신배들도 모조리 배신자들 아닌가? 탄핵소추위원장 권성똥은 굳이 검사역할을 자처하며 박근혜 탄핵을 최일선에서 이끌었던 자고 장죄원은 국정농단 청문회에서 박근혜까기 잘한다고 스타가 되갖고 출세한 인물이고 정찐석? 걔는 아랫목 따듯한 보수 텃밭에서만 국개를 세습으로 해쳐먹은 인간 당에 아무 도움도 안되는거 말해 뭐하냐 ㅉㅉ"
59,trei****,2022.10.09. 10:29,승민 이샷기가 ... 이셋기 제명해라 !!
60,nrmn****,2022.10.09. 10:28,탄핵 원흉 너도 징계 대상
61,deju****,2022.10.09. 10:21,이준석은 내부 총질 .....윤석열은 내부총질 안함...유승민도 내부총질 중....유승민 제명 각
62,nrmn****,2022.10.09. 10:20,"그대 포함, xx 소리 한번도 안한 국개가 있을까"
63,nrmn****,2022.10.09. 10:18,에이라이 10 .
64,elli****,2022.10.09. 10:15,이양희는 부친 이철승을 욕되게 한 부끄러운 사람이다. 공정성을 잃어버린 윤리위 결정을 주도한데 대해 극우토왜 딱지를 붙여도 할말이 없을 것이다.
65,apex****,2022.10.09. 10:13,간신들은 유승민이 아니라 국민귀 바보만든 이XX 도 없었다는 배현진. 권성동 김기현 김재원 정미경 이런아들이 간신아님.
66,ksm7****,2022.10.09. 10:11,한번 (박근혜) 배신했으니...두번 못할 건 없지...............이준석이 너한테 배웠구나????
67,pio1****,2022.10.09. 10:03,유승민 기사 쓰는 언론사 정 해저 있네
68,ikj3****,2022.10.09. 10:02,실천 없는 공정. 자유. 다~~허구 입니다. 유승민이 있어 보수 체면은 유지하는 겁니다
69,ikj3****,2022.10.09. 10:01,"윤대통이 이준석을 내치고, 국힘을 흔들고 민심을 이탈하게한다. 왜 자기욕심만 그리 채우려하는가."
70,hhc4****,2022.10.09. 09:56,"유승민의원님! 아직도 모르셨나요? 그것이 공정이 아닌 굥정의 나라입니다! 이제 꿈에서 깨어나와 이준석과 함께 공정한 나라, 부끄러울 때 부끄러움을 아는 나라, 토착왜구들 쓸어버리고 새로운 보수정당만들어 일본을 뛰어넘는 강건한 나라 만들어 가자구요."
71,msia****,2022.10.09. 09:48,박근혜도 배신한 인간이 럴라 데리고 작닐질 하네~~~~
72,win6****,2022.10.09. 09:44,유씨 이 사람은 정치를 왜 하냐?~~박근혜탄핵도 모자라서 지금 윤통까지도 흔들고 자빠졌네~~그냥 더듬당 가든지 노인정 가라~~더이상 보수궤멸 시도하지말고~~아침부터 재수없네
73,hwan****,2022.10.09. 09:43,너~나 잘 해 간신아~~~~
74,skah****,2022.10.09. 09:43,"유승민쌔꺄 네놈의 배신자간신의 간교한 기질은 아직도 유감없이 발휘되고있구나???그러니 네놈은 국회의원도 이준석놈처럼 떨어지고 못하는이유가 쨔샤...혹시나 이준석놈하고 짝짜꿍해서 당권도전의 택도없는 헛지이이라알은 꿈도꾸지말아라,,세상이 어느땐데 너같은 간교하고 교활한 간신스타일을 찍을사람은 없다,,쨔식아,,이준석 지구떠나느데 말벗이나 하다, 같이 떠나기를 바란다,"
75,ybk8****,2022.10.09. 09:41,쫌 꺼져라!
76,basi****,2022.10.09. 09:40,그래서 탈당해
77,gyss****,2022.10.09. 09:39,간신!간신!배신자!배신자!고마해라.너는않된다아이가!
78,skah****,2022.10.09. 09:39,유승민이가 인간배신은 더많이했다ㅡ유승민이가 하는 말에는 이준석한데 절대로 도움 안된다ㅡ
79,yoon****,2022.10.09. 09:35,인간아! 너는더민당에 안가고 아직도국힘에 있냐? 박근혜탄핵으로 부족하더냐? 넌 이미 정치생명끝났다 집에가서 애나봐라
80,kdi1****,2022.10.09. 09:33,곤장 100대 싸대기 50대 때려라
81,skah****,2022.10.09. 09:33,너 그냥 탈당을 하던지 창당을 해라.쌍판 보는것도 싫다
82,leew****,2022.10.09. 09:32,승민아 거을로 네얼굴좀 쳐다봐라. 뭐가 보이는지
83,k185****,2022.10.09. 09:31,승민아 내부총질그만하고 외부종질 좀해라. 니가 국힘당 맞나? 윤대통령이 공식적으로 언론에 욕햇나? 혼자 중얼거린 거지. 니는 혼자 욕하나? 화나면 막말할수도 있지
84,basi****,2022.10.09. 13:37,유승민하고 이준석은 둘이손잡고 나가라.
85,rioe****,2022.10.09. 09:26,유씨ㅡㅡ배신자. 너가 보수층을 분열시키고있어.배신자는 어절수없는가보다ㅡㅡ배신자
86,time****,2022.10.09. 09:22,당당히 할말은 하는 유승민이같은 사람이 진짜 당을위한 사람이다.
87,subb****,2022.10.09. 09:20,다 떠나서 윤통령한테 따끔하게 한마디 하는 사람 한명만 있었다면 나라가 이 꼴은 안났을거다. 옆에서 신나게 빨아되는 꾸김당들! 윤통 기스나기 시작하면 팽하고 돌아설게 뻔해. 그러니까 윤통령 정신차려. 예전에 내가 준석이한테도 그렇게 조심하라고 말했거든. 근데 그거 무시하다가 지금 얼마나 어려워졌니.. 윤통 사과하고 부인 장모 특검시키고 라인 다 교체해. 그러면 민주당이나 국민들이 힘이 되어 줄거다.
88,jjh1****,2022.10.09. 09:18,뭐가 중헌디 법치국가에서 검찰수사 안받겠다 민주당은 어떤 불법에도 방탄이다 허는데 그깟 판독 안되는 혼잣말 독심술로 사과하라고? 유씨 큰 범죄를 탓하라
89,jsy_****,2022.10.09. 09:18,옳은소리에 반박하는글이 왠말인가? 편파적 불공정에 거짓말로 변명하는굥정부와 국힘 대단혀
90,omj2****,2022.10.09. 09:18,윤심위원회 석열이 제명하나보자
91,blac****,2022.10.09. 09:09,민주당내에는 유승민이나 이준석같은 내부 총질하는 사람이 없는것 같은데.
92,kamg****,2022.10.09. 09:05,국민의힘에서 참된 보수정치인은 유승민 전의원 뿐이네요. 나머지는 간신들만 바글거리고 있고 나라 망하게 하고있네요
93,bogg****,2022.10.09. 09:03,유일한 보수정당의 분열을 조장하는 자를 강력하게 처벌하길 바란다.
94,a227****,2022.10.09. 09:03,한마디 해준다면 배신자는 절대로 조심해야 한다 왜냐면 한번 배신한 자는 또다시 기회를 보고 배신하기 때문이다 특히 대한민국 정치판은 더욱더 그렇다 그러니 이점 명심 또 명심해야 한다
95,khs2****,2022.10.09. 09:01,여조 맹신하는 유승민씨 당대표 출마 하세요 낙선은 확실히 보장 할께요 ㅋㅋㅋ
96,kamg****,2022.10.09. 09:02,그니까 윤썩열돼지두루치기 징계하라고
97,free****,2022.10.09. 08:52,윤석0 법은 남에게만 적용하는 고약한 법. 그래갖 꼬 공정상식? 너거집 개한테 주고 그자리에서 내려가라. 당신땜에 나라 곧 망하겠다.
98,apur****,2022.10.09. 08:51,인간은 죽을 때가 되면은 마음이 변하고 평상시에 안하든짓거리을 한다
99,mols****,2022.10.09. 08:50,카드라 통신 맹신하는 유승민씨 참드럽 사시네요
100,haes****,2022.10.09. 08:49,대깨윤들 바글바글하네 ㅋㅋ
101,hwsb****,2022.10.09. 08:46,"대통령후보 경선에서 패배했으면 자숙을 해야지...경선결과 잉크도 마르지 않았는데 소속당 이사람 저사람들에게 총질을 하고 있네요....우째 이런 사람이 대통령되겠다고 경선에 나왔는지... 참 어이없는 세상...대통령후보 패배, 경기지사후보 패배...해외라도 좀 나가서 공부는 안하더라도 썩어빠진 머리나 좀 정화하고 오시는게 어떠하실련지????"
102,qlal****,2022.10.09. 08:44,ㄷㅊ
103,run2****,2022.10.09. 08:43,ㅋ 아니 공식석상도 아니고 걸으며 지나다 혼자한 얘기까지 징계?
104,cds1****,2022.10.09. 08:42,이상은 더듬당의 전의원 유승민씨의 주장이었습니다 근데 왜 국힘당적을 가지고 있는지는 참 미스테리네~
105,cds1****,2022.10.09. 08:41,징계는 감사의 목적을 모르는 것은 물론 감사조차 인간 자살을 권고하며 협박하고 무분별한 입담을 과시하는 권성동에게 해야. MBC를 두둔하고 싶어? 그들은 대통령의 뒷담화는 어디서 물고 왔는지 뉴스라고 내보내고? 언론탄압이라 떠들더니? 김제남의 죄는 본인의 험담으로 덮어버려 국민의 알권리를 뒤로하고 김제남의 기사노릇을 하며 국민의 힘이 죄를 대신 뒤집어 쓰게 하였는데 그 뉴스는 mbc에서 찾아볼 수 없었다. MBC파행도 징계하여야 한다. 유승민은 이런 말을 해야 함.
106,cjsd****,2022.10.09. 08:36,윤석열이는 잠잤냐
107,cds1****,2022.10.09. 08:36,"윤××가 그렇게 외치던 공정과 상식에 너무도 합당한 얘기! 이 것을 부정하면 표리부동, 이율배반, 자기모순이 아니겠는가? 뻔뻔하게 계속 그래 왔지만ᆢ"
108,nino****,2022.10.09. 08:34,배신자 유승민! 지금 니가 왜 개거품흘리며 큰소리냐? 반사이익을 생각하는것은 니가 배신자였던 지난 행동과 똑같다는 생각이다 어찌됐던 유승민은 대한민국에서 대통령감은 아니다
109,shch****,2022.10.09. 08:34,윤리위 마구할망과 그 일당들....국개의원 한번 해보겠다고 시키는대로 떵개노릇 하는 꼬락서니 .... 거기에 입도 뻥끗 못하는 궁물당 졸개들 ... 참 낮짝머리 뻔뻔한 집단이다... 밑바닥에서 부터 갈아엎어야 된다
110,hr64****,2022.10.09. 08:33,국민의 힘 당대표 유승민 응원합니다
111,cjsd****,2022.10.09. 08:32,따따블만진당에서는 당신 발언으로 좋아죽는데 빨리 가시라구요~보수에서는 잡을 사람 한사람도 없어요 그리고 당신을 보수나 중도로 보는 사람도 없습니다~따따블만진당 이재명 보호하는것 보면 자기편들 똘똘 뭉치는데 국힘은 왜이러는지~뭉치지도못하고 내부 총질만하고있으니~
112,csun****,2022.10.09. 08:30,억울하면 대통령이 되지 그래?
113,firs****,2022.10.09. 08:25,세상이 자기 중심으로 돌아간다고 착각하고 살아가는 준떡이와 준떡이 멘토 승민이~ 아집과 자기중심의 아이콘~ 정치판에서 딱 죽을 상이야!
114,come****,2022.10.09. 08:25,합리적인 보수의 뼈 때리는 발언
115,shou****,2022.10.09. 08:23,"100번, 1,000번 옳은 말씀! 언어 수준은? ㅋㅋ 무식한 동네건달 양아치, 이중인격자, 500 억이면 충분 용산 이전? ㅋㅋ 대국민 사기꾼, 윤도리도리는 당연히 제명해야? ㅋㅋㅋㅋ"
116,kang****,2022.10.09. 08:20,윤로남불! 입벌구 윤구라 빼 때리노!
117,dlsc****,2022.10.09. 08:20,관상은 과학이다 딱 배신자 관상임
118,gust****,2022.10.09. 08:20,류승민 리준석 제발 더듬당으로 꺼져라
119,gfth****,2022.10.09. 08:16,지지난 대선때 당신을 찍은 걸 후회하지 않게하니 고맙소... 대부분 국힘당원들이 권력과 다수의 힘에만 굴종하고 심지어 귀로 듣고도 거짓에 동조하는 이 세태에서..증세없는 복지는 허구다라는 말과함께 배신자네 뭐네 쫓겨나도 한결같은 당신 그리고 더 당차고 정직한 이준석에 기대를 겁니다. 공천앞에서 진실도 국민도 없고 본인들 죄는 숨기고 남 죄만 벌주고 수사하라고 울부짖는 저 무수한 쓰레기 의원들과는 다름이 아직 조선정치사에 남은 희망입니다.
120,kpk7****,2022.10.09. 08:15,이 양반은 옳은소리 많이 하는데 스피커 파워가 없어 ㅠㅠ 왜글까? 너무 샌님? 아님 금수저? 아님 뮐까? 궁금햐? 유행어제조정치인 ㅋㅋ
121,ifg7****,2022.10.09. 08:14,굿짐당 쓰레기들 은 두번다시는 정권과 국회에 발을 못드리게 해야됀다 바른소리 해도 지들 편에 쓴소리하면 팽시키는 굿짐당 쓰레기들 무슨 짖을 해도 내편이라고 잘했다고 우기는 굿짐당 쓰레기들 내아이가 잘못 하면 타이르고 바로 가르처야 돼거늘 이 굿짐당 쓰레기들은 지들 만 잘했다고 우기니 저딴 쓰레기들로는 나라가 바로 쓸수 없다 빈깡통을 대통 ㅜ보로 내새울때부터가 대국민 우롱이고 대국민 우롱죄로 다쓰려 윤 깡통 김건니 한동훈 굿짐당 쓰레기들을 끌어내려 사형에 처하여 능지처참으로 다쓰려야 됀다
122,isch****,2022.10.09. 08:14,유석열과 윤핵관들은 브레이크가 고장난 폭주기관차다. 조금만 기다리면 스스로 절벽아래로 활공할거다.
123,mell****,2022.10.09. 08:14,내부총질자
124,kanm****,2022.10.09. 08:08,너부터 하자
125,jjy7****,2022.10.09. 08:04,너는 더블당으로 꺼져 한번 배신은 영원한배신 국짐당 이런인간 받아주지마시고 쫏아내 주십시요 더블당에서 모셔 가시길 기도드립니다
126,5064****,2022.10.09. 08:00,국짐당에서 그나마 제대로 된 사람은 유승민 뿐이네. ㅠㅠㅠ
127,happ****,2022.10.09. 07:59,"주야장창 공정은 밥 먹듯,상식은 술 먹듯 하는 xx에게 틀린 말은 아니지..... 암만!"
128,kseu****,2022.10.09. 07:59,윤똥은 제명감이지만 제명하면 잼 없뜸...개고기 못 팜.
129,skti****,2022.10.09. 07:58,더러운 인간
130,spsp****,2022.10.09. 07:58,유승민 준석이 하고 빨리 민주당으로 가라개딸들 눈빠지게 기다린다
131,docu****,2022.10.09. 07:57,진정한 보수! 바른 보수! 유승민을 지지 합니다!수구 극보수 꼴통들에게 절대 지지 마세요~!!!
132,kjs0****,2022.10.09. 08:23,"최고 존엄은 욕해도됨.배신자놈아.북조선보다 못한 남조선 국짐임.정신차려 승민아.멧돼지,뉴트리아하고 결별하고 인간세상으로 가라."
133,hjb1****,2022.10.09. 07:53,배신자라더니 진짜네
134,mysi****,2022.10.09. 07:50,그나마 당신이 보수의 희망이네요
135,ljp1****,2022.10.09. 07:49,공개석상 에서 마이크잡고 막말하면 노무현 처럼 탄핵소추 당하겠지...옆사람이랑 속삭인걸 몰카로 잡아서 스토킹 하는 미개한 남조선식..스토킹 문화가 자랑스럽냐? ㅉㅈ 유승민 경제전문가라고 하는데...유승민 논문 한편이라도 본적 있는 사람?....imf 때 김대중정권의 구조조정도 반대한 산업화 꼴통 보수..총수요진작으로 위기극보 가능했다는 돈풀~노선...그게 요즘 찢재명 트랜드와도 부합하니..유승민 한테는 윤통보다는 이재명이 더 코드가 맞겠지...개혁적 보수?.ㅋ 그냥 좀 더걷어서 좀 더 나눠주면 끝...
136,yoba****,2022.10.09. 07:43,진 중권도 정의당이면서 국짐보다더 국짐스러운 발언만하던데 유승민은 민주당에손내밀면그나마 옳고그름은 아는것같으니 지지자들도 이해해줄수도있을듯 하네 그더러운곳에서 나오는게나을듯 ~ 당을 못차릴거같으면? 하는 개인적 생각이 갑자기드네
137,kej0****,2022.10.09. 07:43,"승민씨..당신이 징계 운운 하면 안돼지..니가 한 짓꺼리들 은벌써 까묵었나? 선택적 배신자.,"
138,djst****,2022.10.09. 07:41,억울하면당신도대통령하면되지왜다리걸고넘어지나못된짓이라생각하는데
139,gerh****,2022.10.09. 07:41,유승민이 진짜 보수답다!!!
140,rjj1****,2022.10.09. 07:40,"지금의 국힘윤리위는 청부업자다. 썩은권력에게 리스트 받아서 윤리라는 거창한 명목으로 더러운 자기들 뱃속채우는...결국 국힘윤리위는 하수인노릇하면서, 자기뱃속에 기생충이나 기르는 똥개의 모습, 그이상도 그이하도 아니다.. 공천받지 않겠다는 서약을 하지않는것은 스스로가 똥개임을 인정하는 꼴. 확실한건, 국힘윤리위가 민심을 국힘으로부터 이탈하게한 가장 큰 원인중 하나라는 사실이다."
