,작성자,시간,내용
1198,8755****,2022.10.08. 15:14,이런 캐 쉮
1199,scan****,2022.10.08. 15:14,다 델꼬나가라 신당을차리든가
1200,im03****,2022.10.08. 15:14,석여리가 승민이 저XX욕했겠다 벌써
1201,cpar****,2022.10.08. 15:13,그니까 꺼지라고
1202,dark****,2022.10.08. 15:13,이사람들이 라고 결과 나온지 언젠데 안타깝네요
1203,sky5****,2022.10.08. 15:12,정상인이 그당에서 살아남기가 힘들지~ 신념은 보순데 같이하는 애들이랑 지지자가 정신벼자들이라서 힘드실듯
1204,manj****,2022.10.08. 15:15,니가 뱉은 아가리질이나 곱씹어 생각해 봐라
1205,kyk1****,2022.10.08. 15:11,'이 XX'라고 들리면 빨갱이라잖아. 너도 빨갱이야?
1206,cho2****,2022.10.08. 15:11,넌 박근혜 탄핵에 앞장선 이완용 같은 인물이다.. 유승민 너에게 정치를 배운 이준석이가 어련할까? 둘 다 정계를 떠나라...
1207,mibb****,2022.10.08. 15:57,그나마 니가 쫌은 양심보수다
1208,kwon****,2022.10.08. 15:11,그건 니들 다하는거자나
1209,uksi****,2022.10.08. 15:11,유승민은 그냥ㅈ나가서 당을 만드세요~~여기서 내부총질하지말고
1210,gtgt****,2022.10.08. 15:11,승민 준석 태경 웅 은아 이자들 빨리 처리해야 한다.당에 남아서 무슨 짓을 할지 모르는자들이자들은 영원히 배신을 밥으른 처먹는자들?
1211,surv****,2022.10.08. 15:10,못난것들 가지가지하네준식이 앞세워서 당흔들고 재미좀 볼라하다 힘들제이제 똘민이가 바통이어받네담은 무대가등장하나?
1212,me98****,2022.10.08. 15:10,내부총질하고 있네 옆동네로 가라
1213,mees****,2022.10.08. 15:10,윤석열은 검새가족이자너.... 지가족 지식구 지동료?는 치외법권할 겁니다
1214,jaso****,2022.10.08. 15:10,원래 검사스러운 놈들은 법이 자기 맘대로여.살인자는 안 잡고 불법신고 했다고 개인정보법 위반이라 잡는것이여.군사독재 보다 더 간악한 자들!
1215,star****,2022.10.08. 15:10,토착왜구당 쪽발이 귀에 거슬리면 모두 빨갱이다
1216,jams****,2022.10.08. 15:09,이룬 도찐개찐... 찢이나 뭉가나..
1217,wnst****,2022.10.08. 15:09,얘도 나가라!
1218,riso****,2022.10.08. 15:09,ㅂ… ㅅ…
1219,wot3****,2022.10.08. 15:09,"배신자, 분탕자 승민아!느그 조무라기들 델구 나가서 새론 당 맹글어서 거기서 분탕치고 살아라민주당에서도 않받아줄 그런 넘들이 ~~"
1220,mibb****,2022.10.08. 15:57,이젠 윤석열 대통령을 완전히 안볼사람처럼 행동하는구나!! 니가 정말 보수라면 이런말 밖에는 할게없나?
1221,born****,2022.10.08. 15:08,유스민 이준서기는 영원한 배반자
1222,newc****,2022.10.08. 15:08,이빨을 드러내는 바미당 출신들
1223,ycg8****,2022.10.09. 11:23,당연하지
1224,thdd****,2022.10.08. 15:18,이준석이 가만있으니 유승민이 분탕질하네배신자들끼리 번갈아가며
1225,tgb4****,2022.10.08. 15:08,역대급 최고의 간신 배신자. 부끄러운 줄도 모르는가?
1226,gml1****,2022.10.08. 15:08,유촉새 꺼져!
1227,mazc****,2022.10.08. 15:08,이사람이 진정한 좌파다 ㅎㅎ
1228,henr****,2022.10.08. 15:07,저인간들은 민주당에 입당하거라더러운입 그만 나불거려라
1229,syle****,2022.10.08. 15:07,이제 유승민이 이준석 바통을 이어 받았나~ 대놓고 당원에 모욕적인 발언을 한 이준석과 혼자 웅얼거린 불명확한 말을 매스컴과 더블당의 확대 선동질로 곤혹을 치루고 있는 대통령의 말과 동급 치급이라니~
1230,0309****,2022.10.08. 15:07,토착왜구당 쪽발이 윤재앙 윤 히틀러는 조폭이니까
1231,chsh****,2022.10.08. 15:07,참으로 차사함의 극치를 본다. 죄없는 사람을 탄핵 하고도 뻔뻔하네! 순천자는 흥하고 역천자는 망한다.! 자숙하고또 근신하라!
1232,uhsk****,2022.10.08. 17:10,제발 이준석 전대표와 나가 신당만들고 그입다물라
1233,yuri****,2022.10.08. 15:07,댓글부대 도배했네
1234,kire****,2022.10.08. 15:06,다르다는거 알면서 모르는척 기성정치인과 똑같이 말하는 당신 정말 실망이다. 용기있는 바른말도 아니고 실갈같은 희망까지 저버리게 하네. 이젠 너랑은 끝이다.
1235,opiq****,2022.10.08. 15:06,윤석열 패거리들의 이중성 내로남불은 충격적이다
1236,gt20****,2022.10.08. 15:06,이런사람들은 보수우파성향도 아니면서 왜 우파에 들러붙어 기생하는거야? 성향에 맞는당 찾아가라고.우파를 변화시키겠다고? 됐다고해. 우파가 좌파되는게 변하는거야?빨리 떠나시오.
1237,lky8****,2022.10.08. 15:06,다음 총선 전까지는 내부 분탕질 인간은 모조리 깔끔하게 털어내고 단합된 힘으로 총선 치러보죠
1238,powc****,2022.10.08. 15:06,"윤대통령은 묵묵히 잘 하고 있는 듯 하다. 사면팔방에서 본질도 아닌 것 가지고 헐뜯고 거품 물어도 그냥 할 일 하고 있다. 아무리 민주당, 유승민, 하태경.이준석 등 날 뛰어도 대세에는 문제없다."
1239,ic38****,2022.10.08. 15:06,이 분도 이제 지겹다
1240,time****,2022.10.08. 15:06,승민아 당이 싫으면 그냥 쿨하게 탈당해라..지저분하게 추근대지말고 ..가
1241,schu****,2022.10.08. 15:06,유승민 보기 싫다
1242,rhah****,2022.10.08. 15:06,이들은 옳은 말 바른소리 하면 배신자!!내부총질이라 부들부들!!총선까지 쭉~~~~~~!그리하시길!!
